candidate_id,rank,score,reasoning
CAND_0088025,1,0.6987,"Candidate has 8.6 years of experience, currently working as Staff Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Pinecone, QLoRA, LLMs."
CAND_0046525,2,0.6949,"Candidate has 6.1 years of experience, currently working as Senior Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Elasticsearch, Redux, LangChain."
CAND_0071974,3,0.6946,"Candidate has 7.8 years of experience, currently working as Senior AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LoRA, Learning to Rank, Weaviate."
CAND_0081846,4,0.6926,"Candidate has 6.7 years of experience, currently working as Lead AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Data Science, Information Retrieval, LlamaIndex."
CAND_0018499,5,0.6908,"Candidate has 7.2 years of experience, currently working as Senior Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Deep Learning, Weaviate, Recommendation Systems."
CAND_0070398,6,0.6845,"Candidate has 7.2 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Image Classification, Data Science, BM25."
CAND_0064326,7,0.682,"Candidate has 7.6 years of experience, currently working as Search Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: scikit-learn, PyTorch, Milvus."
CAND_0042100,8,0.6804,"Candidate has 7.3 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Elasticsearch, Statistical Modeling, Learning to Rank."
CAND_0044222,9,0.6791,"Candidate has 7.7 years of experience, currently working as AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Vector Search, LlamaIndex, OpenSearch."
CAND_0091909,10,0.668,"Candidate has 6.9 years of experience, currently working as Machine Learning Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: LLMs, Image Classification, Pinecone."
CAND_0002025,11,0.6258,"Candidate has 5.9 years of experience, currently working as Senior AI Engineer. Demonstrated experience shipping ranking/search systems at a product company. Shows strong understanding of evaluation metrics (NDCG/MRR/MAP). Listed skills include: Diffusion Models, FAISS, TensorFlow."
